
Calculating PEARSON_MULTI correlation of data from SOLAR_1YEAR
Countries [BE] and [BG, CZ, ES], Correlation: 0.68788
Countries [RO, NL] and [BE, BG], Correlation: 0.89629
Countries [DK, NL] and [BE, GR], Correlation: 0.55956
Countries [PT, BG, FR] and [BE], Correlation: 0.77609
Countries [BE, RO] and [BG, NL], Correlation: 0.86874
Countries [GR, NL] and [BE, DK], Correlation: 0.74192
Countries [BE, PT] and [DK, GR], Correlation: 0.61701
Countries [BE] and [DK, GR, NL], Correlation: 0.63430
Countries [BE, DK] and [PT, GR], Correlation: 0.55408
Countries [AT, GR] and [BE, PT], Correlation: 0.61501
Countries [PT, BG, ES] and [NL], Correlation: 0.51512
Countries [CZ] and [AT, BE, RO], Correlation: 0.82113
Countries [AT, BE] and [CZ, RO], Correlation: 0.70909
Countries [AT] and [BE, CZ, RO], Correlation: 0.58783
Countries [AT, CZ] and [BE, RO], Correlation: 0.76927
Countries [AT, BE] and [PT, GR], Correlation: 0.55086
Countries [FR] and [DE, ES, NL], Correlation: 0.53543
Countries [AT, BG] and [CH, RO], Correlation: 0.73675
Countries [BG, RO] and [AT, CH], Correlation: 0.60958
Countries [AT, CH, RO] and [BG], Correlation: 0.77633
Countries [AT, RO] and [BG, CH], Correlation: 0.57902
Countries [AT, BG, CH] and [RO], Correlation: 0.77134
Countries [AT] and [BG, CH, RO], Correlation: 0.65665
Countries [DE, GR, RO] and [GB], Correlation: 0.54495
Countries [FR, RO] and [BG, ES], Correlation: 0.86481
Countries [DE, RO] and [GR, GB], Correlation: 0.56206
Countries [CH, GR] and [AT, RO], Correlation: 0.73039
Countries [RO, ES] and [BG, FR], Correlation: 0.86616
Countries [AT] and [CH, GR, RO], Correlation: 0.75072
Countries [DE, CH, RO] and [ES], Correlation: 0.54837
Countries [PT, FR] and [AT, ES], Correlation: 0.85146
Countries [BG, GR, NL] and [CZ], Correlation: 0.77261
Countries [BE, CH, RO] and [BG], Correlation: 0.53593
Countries [RO] and [AT, CH, GR], Correlation: 0.82354
Countries [PT, ES] and [AT, FR], Correlation: 0.81981
Countries [BG, NL] and [CZ, GR], Correlation: 0.64454
Countries [BE, BG, CH] and [RO], Correlation: 0.70001
Countries [NL] and [CH, DK, ES], Correlation: 0.64984
Countries [ES] and [AT, PT, GB], Correlation: 0.69590
Countries [BG, GR] and [CZ, NL], Correlation: 0.58171
Countries [NL] and [DK, GR, FR], Correlation: 0.59165
Countries [CH, FR, RO] and [BE], Correlation: 0.82161
Countries [CH, CZ] and [AT, GR], Correlation: 0.55307
Countries [AT] and [CH, CZ, GR], Correlation: 0.73294
Countries [CH, GR] and [AT, CZ], Correlation: 0.76174
Countries [CZ] and [AT, CH, GR], Correlation: 0.68172
Countries [ES] and [DE, BG, RO], Correlation: 0.53907
Countries [BE, DK] and [BG, GR], Correlation: 0.56355
Countries [AT, PT, GR] and [BG], Correlation: 0.57925
Countries [AT] and [PT, BG, GR], Correlation: 0.63178
Countries [AT, FR] and [BE, CZ], Correlation: 0.50156
Countries [BE] and [AT, CZ, FR], Correlation: 0.81906
Countries [AT, BG] and [PT, GR], Correlation: 0.51776
Countries [BE] and [BG, CH, FR], Correlation: 0.81437
Countries [DK, GR] and [BE, BG], Correlation: 0.74633
Countries [BE, PT, DK] and [RO], Correlation: 0.52643
Countries [GB, FR] and [DE, AT], Correlation: 0.74153
Countries [GR] and [AT, CH, FR], Correlation: 0.54048
Countries [PT, DK] and [CH, CZ], Correlation: 0.54746
Countries [DE, AT, FR] and [GB], Correlation: 0.69207
Countries [DE, PT, DK] and [FR], Correlation: 0.64937
Countries [DE, BE, ES] and [FR], Correlation: 0.52431
Countries [FR] and [BE, CH, GB], Correlation: 0.84057
Countries [DE, CZ, ES] and [FR], Correlation: 0.56559
Countries [CH, NL] and [CZ, RO], Correlation: 0.67510
Countries [DE, BG, NL] and [FR], Correlation: 0.59080
Countries [CH, CZ] and [RO, NL], Correlation: 0.57208
Countries [PT, CH, CZ] and [DK], Correlation: 0.76070
Countries [CH, CZ, NL] and [RO], Correlation: 0.60444
Countries [AT, FR, RO] and [GR], Correlation: 0.54722
Countries [CH, GB] and [BE, FR], Correlation: 0.53910
Countries [CH, FR, RO] and [NL], Correlation: 0.70855
Countries [CH, RO, NL] and [CZ], Correlation: 0.60600
Countries [PT, CH, FR] and [CZ], Correlation: 0.51482
Countries [CH, CZ, ES] and [BE], Correlation: 0.71824
Countries [GR] and [CZ, DK, FR], Correlation: 0.51743
Countries [BE, GR, GB] and [ES], Correlation: 0.73454
Countries [GB, ES] and [DE, BG], Correlation: 0.68684
Countries [DE, BG, ES] and [GB], Correlation: 0.66346
Countries [ES] and [CH, GB, NL], Correlation: 0.73308
Countries [CZ] and [CH, FR, RO], Correlation: 0.54110
Countries [GB, NL] and [DE, RO], Correlation: 0.54927
Countries [BE, CH, GB] and [ES], Correlation: 0.72944
Countries [CH, GB] and [BE, ES], Correlation: 0.51873
Countries [DE, CZ, FR] and [GB], Correlation: 0.70074
Countries [DE, CZ] and [GB, FR], Correlation: 0.72862
Countries [BE, GB, RO] and [FR], Correlation: 0.82709
Countries [AT, BE, GB] and [FR], Correlation: 0.84866
Countries [DE, AT, NL] and [FR], Correlation: 0.63867
Countries [AT, GB] and [BE, FR], Correlation: 0.51262
Countries [DE, CH, NL] and [FR], Correlation: 0.65057
Countries [BG, DK, FR] and [GR], Correlation: 0.54989
Countries [CZ, RO, NL] and [AT], Correlation: 0.64677
Countries [CZ, NL] and [DK, GR], Correlation: 0.66053
Countries [RO, NL] and [AT, CZ], Correlation: 0.77586
Countries [DK, NL] and [CZ, GR], Correlation: 0.56193
Countries [FR] and [CH, CZ, GB], Correlation: 0.83573
Countries [DE, AT] and [DK, GB], Correlation: 0.54455
Countries [CZ, DK, GR] and [NL], Correlation: 0.51503
Countries [DE, DK] and [AT, GB], Correlation: 0.56574
Countries [CZ] and [DK, GR, NL], Correlation: 0.79010
Countries [AT, RO, NL] and [CZ], Correlation: 0.75837
Countries [DE, RO, NL] and [GB], Correlation: 0.54701
Countries [CZ, RO] and [AT, NL], Correlation: 0.72323
Countries [BG, CZ] and [GR, RO], Correlation: 0.78035
Countries [CH, RO, NL] and [BG], Correlation: 0.57107
Countries [BG, GR] and [CZ, RO], Correlation: 0.76511
Countries [DE, AT, DK] and [GB], Correlation: 0.55977
Countries [BG, GR, RO] and [CZ], Correlation: 0.69463
Countries [RO] and [BG, CZ, GR], Correlation: 0.62745
Countries [ES] and [CZ, GR, GB], Correlation: 0.74012
Countries [CZ] and [PT, DK, NL], Correlation: 0.57106
Countries [CZ, GB] and [DE, BE], Correlation: 0.55780
Countries [CZ, DK] and [PT, NL], Correlation: 0.70730
Countries [DK, NL] and [PT, CZ], Correlation: 0.67030
Countries [DE, CZ] and [BE, GB], Correlation: 0.59879
Countries [RO] and [BG, CH, NL], Correlation: 0.71139
Countries [DK] and [AT, PT, NL], Correlation: 0.54103
Countries [PT, NL] and [AT, DK], Correlation: 0.54370
Countries [AT] and [PT, DK, NL], Correlation: 0.76013
Countries [BE, GR] and [DK, FR], Correlation: 0.51862
Countries [BE] and [DK, GR, FR], Correlation: 0.76158
Countries [CZ, NL] and [BE, PT], Correlation: 0.84600
Countries [CH, GR] and [BG, NL], Correlation: 0.64337
Countries [BE, PT, CZ] and [NL], Correlation: 0.70716
Countries [DE, BE, CZ] and [GB], Correlation: 0.60462
Countries [AT, GR] and [CZ, NL], Correlation: 0.70955
Countries [AT, CZ] and [GR, NL], Correlation: 0.54034
Countries [AT, GR, NL] and [CZ], Correlation: 0.81374
Countries [BE] and [PT, CZ, NL], Correlation: 0.56637
Countries [PT, BG, NL] and [RO], Correlation: 0.59932
Countries [BE, PT, NL] and [CZ], Correlation: 0.73120
Countries [NL] and [AT, CZ, GR], Correlation: 0.53593
Countries [CZ, GR] and [AT, NL], Correlation: 0.65698
Countries [GB] and [DE, CZ, ES], Correlation: 0.70561
Countries [CZ] and [AT, PT, NL], Correlation: 0.65368
Countries [AT, CZ] and [PT, NL], Correlation: 0.70351
Countries [PT, NL] and [BE, CZ], Correlation: 0.65248
Countries [BE, PT] and [CH, NL], Correlation: 0.83670
Countries [DE, CZ] and [GB, ES], Correlation: 0.70287
Countries [PT, NL] and [BE, CH], Correlation: 0.86780
Countries [AT, NL] and [PT, CZ], Correlation: 0.66667
Countries [AT] and [PT, CZ, NL], Correlation: 0.71082
Countries [GR, RO] and [CH, CZ], Correlation: 0.51221
Countries [CH, GR, RO] and [CZ], Correlation: 0.64235
Countries [FR] and [AT, BG, GB], Correlation: 0.80541
Countries [ES] and [PT, CZ, GB], Correlation: 0.69844
Countries [RO] and [CH, CZ, GR], Correlation: 0.72365
Countries [NL] and [AT, BE, CZ], Correlation: 0.76805
Countries [AT, BE, NL] and [CZ], Correlation: 0.78437
Countries [BE, CZ] and [AT, NL], Correlation: 0.82935
Countries [AT, CZ] and [BE, NL], Correlation: 0.51388
Countries [AT, BE] and [CZ, NL], Correlation: 0.92459
Countries [AT, CZ, NL] and [BE], Correlation: 0.67701
Countries [CH, GR] and [CZ, RO], Correlation: 0.81596
Countries [BE, CH] and [BG, NL], Correlation: 0.87546
Countries [BE] and [CH, ES, NL], Correlation: 0.71927
Countries [AT, PT, NL] and [RO], Correlation: 0.52231
Countries [CH, NL] and [BE, BG], Correlation: 0.74771
Countries [NL] and [BE, CH, ES], Correlation: 0.60410
Countries [AT] and [PT, RO, NL], Correlation: 0.73856
Countries [DE, BE, DK] and [ES], Correlation: 0.52076
Countries [AT, CH, CZ] and [DK], Correlation: 0.73886
Countries [CH, CZ, DK] and [AT], Correlation: 0.92515
Countries [CZ, DK] and [AT, CH], Correlation: 0.58652
Countries [CH, CZ] and [AT, DK], Correlation: 0.88359
Countries [NL] and [AT, FR, RO], Correlation: 0.67182
Countries [CH, GB] and [FR, NL], Correlation: 0.51276
Countries [FR] and [CH, GB, NL], Correlation: 0.83582
Countries [BG, GR] and [BE, CH], Correlation: 0.54033
Countries [BE, BG] and [CH, GR], Correlation: 0.62394
Countries [AT, BE, CZ] and [GR], Correlation: 0.55843
Countries [FR] and [DE, CZ, DK], Correlation: 0.66289
Countries [ES] and [AT, GB, FR], Correlation: 0.79373
Countries [FR] and [AT, GB, ES], Correlation: 0.85338
Countries [AT, CZ, GR] and [BE], Correlation: 0.51897
Countries [AT, GB] and [FR, ES], Correlation: 0.77322
Countries [CZ, DK] and [BE, RO], Correlation: 0.70601
Countries [DE, BE] and [DK, GB], Correlation: 0.50518
Countries [BE, GB] and [DE, DK], Correlation: 0.62411
Countries [DE, AT] and [GB, ES], Correlation: 0.71530
Countries [DE, AT, ES] and [GB], Correlation: 0.69686
Countries [FR] and [DE, CH, ES], Correlation: 0.59372
Countries [DE, CH, FR] and [ES], Correlation: 0.50532
Countries [DE, BE, DK] and [GB], Correlation: 0.58919
Countries [ES] and [DE, DK, RO], Correlation: 0.54433
Countries [CZ] and [BE, DK, RO], Correlation: 0.77226
Countries [AT, CZ, FR] and [NL], Correlation: 0.66897
Countries [ES] and [CH, GB, RO], Correlation: 0.70595
Countries [AT, BE] and [CZ, GR], Correlation: 0.74225
Countries [BE, GB] and [FR, ES], Correlation: 0.71794
Countries [BE, CZ] and [AT, GR], Correlation: 0.68387
Countries [GR, ES] and [AT, FR], Correlation: 0.83051
Countries [BG, DK, NL] and [CZ], Correlation: 0.64610
Countries [DK, NL] and [BG, CZ], Correlation: 0.65820
Countries [GR, FR] and [AT, ES], Correlation: 0.84066
Countries [CZ] and [AT, BE, GR], Correlation: 0.82152
Countries [BE, DK] and [CZ, RO], Correlation: 0.71098
Countries [AT, DK] and [BE, PT], Correlation: 0.50808
Countries [BE, PT, DK] and [AT], Correlation: 0.77416
Countries [DE, PT, RO] and [FR], Correlation: 0.58582
Countries [BE, GB, FR] and [ES], Correlation: 0.75581
Countries [BE, GB, ES] and [FR], Correlation: 0.82160
Countries [BG, NL] and [CZ, DK], Correlation: 0.73548
Countries [BG] and [PT, DK, GR], Correlation: 0.64084
Countries [AT] and [BG, CZ, NL], Correlation: 0.65310
Countries [BG, CZ] and [AT, NL], Correlation: 0.68321
Countries [BG, NL] and [AT, CZ], Correlation: 0.75847
Countries [CZ] and [AT, BG, NL], Correlation: 0.72166
Countries [DE, BG, DK] and [GB], Correlation: 0.51534
Countries [NL] and [DK, FR, RO], Correlation: 0.69526
Countries [BG, GB] and [DE, DK], Correlation: 0.50302
Countries [PT, FR] and [CZ, ES], Correlation: 0.82879
Countries [BG, CH, FR] and [NL], Correlation: 0.70441
Countries [PT, CH, ES] and [NL], Correlation: 0.58920
Countries [PT, CZ, FR] and [NL], Correlation: 0.66534
Countries [CZ, FR] and [PT, ES], Correlation: 0.78752
Countries [BE, NL] and [FR, RO], Correlation: 0.54841
Countries [BE] and [FR, RO, NL], Correlation: 0.79462
Countries [BE, FR, RO] and [NL], Correlation: 0.59939
Countries [GR] and [CH, FR, RO], Correlation: 0.56915
Countries [FR, ES] and [PT, GB], Correlation: 0.76339
Countries [FR, RO] and [DK, ES], Correlation: 0.85572
Countries [DK, FR] and [RO, ES], Correlation: 0.85564
Countries [NL] and [BE, BG, ES], Correlation: 0.53463
Countries [BE] and [BG, ES, NL], Correlation: 0.68909
Countries [PT, GB, ES] and [FR], Correlation: 0.84154
Countries [FR] and [DE, CH, GR], Correlation: 0.62108
Countries [FR] and [CZ, GR, GB], Correlation: 0.83236
Countries [AT, GR, GB] and [FR], Correlation: 0.82865
Countries [ES] and [PT, GB, FR], Correlation: 0.78093
Countries [DE, CH] and [CZ, GB], Correlation: 0.61045
Countries [DE, CH, CZ] and [GB], Correlation: 0.56125
Countries [RO] and [AT, PT, CZ], Correlation: 0.75254
Countries [GB, RO, NL] and [FR], Correlation: 0.81893
Countries [DE, CZ] and [CH, GB], Correlation: 0.50352
Countries [AT] and [PT, CZ, RO], Correlation: 0.90663
Countries [DE, CH, DK] and [ES], Correlation: 0.57637
Countries [AT, RO] and [PT, CZ], Correlation: 0.84534
Countries [DE, BG] and [BE, GB], Correlation: 0.56763
Countries [DE, BE, BG] and [GB], Correlation: 0.54737
Countries [PT, RO] and [BG, CH], Correlation: 0.71993
Countries [GR, GB, FR] and [ES], Correlation: 0.76485
Countries [GR, GB, ES] and [FR], Correlation: 0.81973
Countries [DE, AT, BG] and [GB], Correlation: 0.52103
Countries [AT, GB] and [DE, BG], Correlation: 0.50942
Countries [FR, ES] and [GR, GB], Correlation: 0.71734
Countries [GR, FR] and [CZ, ES], Correlation: 0.87309
Countries [CZ, FR] and [GR, ES], Correlation: 0.85490
Countries [BG, CH, GR] and [CZ], Correlation: 0.59496
Countries [BG] and [PT, CH, RO], Correlation: 0.51713
Countries [CZ, DK, GB] and [ES], Correlation: 0.73454
Countries [CH, GR] and [BG, CZ], Correlation: 0.83602
Countries [BG, RO] and [CZ, DK], Correlation: 0.67905
Countries [CZ, DK, RO] and [BG], Correlation: 0.71231
Countries [PT, BG] and [CH, RO], Correlation: 0.80617
Countries [BG] and [CH, CZ, GR], Correlation: 0.59713
Countries [RO] and [BG, CZ, DK], Correlation: 0.86791
Countries [BG, CZ] and [DK, RO], Correlation: 0.70303
Countries [DK, GB] and [FR, ES], Correlation: 0.77337
Countries [ES] and [CZ, GB, FR], Correlation: 0.78496
Countries [DK] and [BG, CZ, RO], Correlation: 0.54590
Countries [CZ, RO] and [BG, DK], Correlation: 0.58120
Countries [NL] and [DK, RO, ES], Correlation: 0.60451
Countries [DK, GB, ES] and [FR], Correlation: 0.85327
Countries [CZ, GB] and [FR, ES], Correlation: 0.75958
Countries [FR] and [CZ, GB, ES], Correlation: 0.84664
Countries [CH, CZ] and [BG, DK], Correlation: 0.75192
Countries [BG, CH, CZ] and [DK], Correlation: 0.69802
Countries [AT, BE] and [BG, NL], Correlation: 0.84715
Countries [AT, NL] and [BE, BG], Correlation: 0.89008
Countries [AT, BE, BG] and [NL], Correlation: 0.61951
Countries [PT, GR] and [DK, NL], Correlation: 0.52490
Countries [BG] and [CH, CZ, DK], Correlation: 0.68934
Countries [BE] and [PT, CH, FR], Correlation: 0.81121
Countries [ES] and [DK, GB, FR], Correlation: 0.79173
Countries [AT, NL] and [PT, GR], Correlation: 0.55872
Countries [AT, BG, FR] and [GR], Correlation: 0.55284
Countries [PT, GB, RO] and [FR], Correlation: 0.76910
Countries [PT, NL] and [DK, GR], Correlation: 0.52736
Countries [FR] and [DE, BE, PT], Correlation: 0.61451
Countries [PT, FR, RO] and [NL], Correlation: 0.64852
Countries [PT, FR] and [BE, ES], Correlation: 0.79658
Countries [PT, ES] and [BE, FR], Correlation: 0.75066
Countries [CZ] and [CH, DK, FR], Correlation: 0.58497
Countries [AT] and [BG, DK, NL], Correlation: 0.76065
Countries [GR, RO, ES] and [BE], Correlation: 0.62294
Countries [BE, CZ] and [BG, NL], Correlation: 0.73181
Countries [BE, BG, NL] and [CZ], Correlation: 0.74662
Countries [CZ, NL] and [BE, BG], Correlation: 0.87721
Countries [BG, CZ, NL] and [BE], Correlation: 0.58192
Countries [FR] and [BE, BG, GB], Correlation: 0.82137
Countries [GB, ES] and [DE, DK], Correlation: 0.72089
Countries [ES] and [DE, CZ, GR], Correlation: 0.50069
Countries [NL] and [BE, BG, CZ], Correlation: 0.70552
Countries [AT, CH, NL] and [RO], Correlation: 0.63668
Countries [AT] and [CH, RO, NL], Correlation: 0.81586
Countries [GB] and [DE, DK, ES], Correlation: 0.69493
Countries [CH, NL] and [AT, CZ], Correlation: 0.74619
Countries [AT, NL] and [CH, CZ], Correlation: 0.60222
Countries [AT, CH, NL] and [CZ], Correlation: 0.66236
Countries [CH, CZ, NL] and [AT], Correlation: 0.79111
Countries [CH, NL] and [AT, RO], Correlation: 0.62849
Countries [BG, NL] and [BE, DK], Correlation: 0.87165
Countries [NL] and [BE, BG, DK], Correlation: 0.58546
Countries [AT] and [PT, CH, NL], Correlation: 0.77201
Countries [DK, NL] and [BE, BG], Correlation: 0.84486
Countries [CH, NL] and [AT, PT], Correlation: 0.52056
Countries [AT, GR] and [BG, NL], Correlation: 0.71545
Countries [BG, GR] and [AT, NL], Correlation: 0.56192
Countries [NL] and [CZ, DK, ES], Correlation: 0.60489
Countries [GB] and [DE, FR, NL], Correlation: 0.70681
Countries [GB, FR] and [DE, NL], Correlation: 0.72440
Countries [RO, ES] and [PT, FR], Correlation: 0.82830
Countries [FR, RO] and [PT, ES], Correlation: 0.79105
Countries [ES] and [BG, GB, RO], Correlation: 0.71451
Countries [BE] and [AT, CH, ES], Correlation: 0.70624
Countries [CZ] and [CH, DK, NL], Correlation: 0.57831
Countries [CZ, DK] and [CH, NL], Correlation: 0.77503
Countries [DE, BG, DK] and [FR], Correlation: 0.63758
Countries [RO] and [AT, BE, BG], Correlation: 0.59252
Countries [BE, BG] and [AT, RO], Correlation: 0.50503
Countries [AT] and [BE, BG, RO], Correlation: 0.69609
Countries [DK, NL] and [CH, CZ], Correlation: 0.61817
Countries [GB] and [DE, CZ, DK], Correlation: 0.57354
Countries [DE, DK] and [CZ, GB], Correlation: 0.60557
Countries [DE, CZ] and [DK, GB], Correlation: 0.52825
Countries [BE, PT, CH] and [RO], Correlation: 0.57930
Countries [AT, DK, FR] and [BE], Correlation: 0.84318
Countries [CH, CZ, NL] and [DK], Correlation: 0.53171
Countries [BE, FR] and [DK, ES], Correlation: 0.80372
Countries [BE, ES] and [DK, FR], Correlation: 0.82106
Countries [DE, CZ, GR] and [GB], Correlation: 0.56749
Countries [GR, GB] and [DE, CZ], Correlation: 0.55087
Countries [DE, GR] and [CZ, GB], Correlation: 0.52523
Countries [PT, FR] and [BE, NL], Correlation: 0.58717
Countries [BE, PT, FR] and [NL], Correlation: 0.63805
Countries [BE] and [PT, FR, NL], Correlation: 0.80677
Countries [AT, CH, DK] and [BG], Correlation: 0.57912
Countries [BG, CH, DK] and [AT], Correlation: 0.58927
Countries [DK] and [AT, BG, CH], Correlation: 0.74829
Countries [CH, CZ] and [BE, BG], Correlation: 0.51916
Countries [DE, PT, GR] and [FR], Correlation: 0.55238
Countries [BG, DK] and [AT, CH], Correlation: 0.78023
Countries [DE, GR] and [GB, NL], Correlation: 0.51806
Countries [BG, CH] and [AT, DK], Correlation: 0.58464
Countries [GR, GB] and [DE, NL], Correlation: 0.53337
Countries [BE, CH] and [BG, CZ], Correlation: 0.71512
Countries [GB] and [DE, GR, NL], Correlation: 0.57359
Countries [DK, ES] and [PT, FR], Correlation: 0.84288
Countries [BE, BG, CH] and [CZ], Correlation: 0.66953
Countries [CH, RO, ES] and [NL], Correlation: 0.61373
Countries [PT, ES] and [DK, FR], Correlation: 0.80707
Countries [GB] and [DE, CH, FR], Correlation: 0.68058
Countries [BE] and [PT, FR, RO], Correlation: 0.78605
Countries [DE, CH] and [GB, FR], Correlation: 0.74933
Countries [BE] and [AT, PT, ES], Correlation: 0.65503
Countries [NL] and [BG, CZ, ES], Correlation: 0.55581
Countries [FR] and [DE, CH, RO], Correlation: 0.65003
Countries [FR] and [PT, CH, GB], Correlation: 0.79578
Countries [DE, CZ, RO] and [GB], Correlation: 0.54164
Countries [CZ, GB] and [DE, RO], Correlation: 0.55713
Countries [GR, RO] and [BE, BG], Correlation: 0.71343
Countries [DE, AT, BE] and [FR], Correlation: 0.62888
Countries [AT, RO] and [PT, GR], Correlation: 0.56740
Countries [AT] and [PT, GR, RO], Correlation: 0.66012
Countries [BE, RO] and [BG, GR], Correlation: 0.66073
Countries [AT, PT, GR] and [RO], Correlation: 0.70947
Countries [FR] and [DE, CZ, RO], Correlation: 0.61972
Countries [BE, GB] and [DE, CH], Correlation: 0.62944
Countries [FR, RO] and [ES, NL], Correlation: 0.82321
Countries [RO, ES] and [FR, NL], Correlation: 0.82498
Countries [GB] and [DE, BE, CH], Correlation: 0.57830
Countries [FR] and [BE, PT, GB], Correlation: 0.83237
Countries [BG, DK, GR] and [AT], Correlation: 0.70818
Countries [RO] and [AT, BE, CH], Correlation: 0.62639
Countries [AT, BG] and [DK, GR], Correlation: 0.58970
Countries [AT, RO] and [BE, CH], Correlation: 0.61460
Countries [BG] and [AT, DK, GR], Correlation: 0.63233
Countries [BE, CH, RO] and [AT], Correlation: 0.80849
